iter	Passed	Remaining
435	1369	1771
436	1371	1767
437	1374	1763
438	1377	1759
439	1379	1755
440	1382	1751
441	1385	1748
442	1387	1745
443	1390	1741
444	1393	1737
445	1395	1733
446	1398	1729
447	1401	1726
448	1403	1722
449	1406	1718
450	1408	1715
451	1411	1711
452	1414	1707
453	1416	1703
454	1419	1700
455	1421	1696
456	1424	1692
457	1427	1689
458	1430	1685
459	1433	1682
460	1435	1678
461	1438	1674
462	1440	1671
463	1443	1667
464	1445	1663
465	1448	1660
466	1451	1656
467	1454	1653
468	1456	1649
469	1459	1645
470	1462	1642
471	1464	1638
472	1467	1635
473	1470	1631
474	1473	1628
475	1476	1624
476	1478	1621
477	1481	1617
478	1484	1614
479	1486	1610
480	1489	1607
481	1492	1604
482	1495	1600
483	1498	1597
484	1500	1593
485	1503	1590
486	1506	1586
487	1509	1583
488	1512	1580
489	1515	1577
490	1518	1574
491	1521	1571
492	1524	1567
493	1527	1564
494	1530	1561
495	1533	1557
496	1536	1554
497	1539	1551
498	1541	1548
499	1544	1544
500	1547	1541
501	1550	1537
502	1553	1534
503	1556	1531
504	1559	1528
505	1562	1524
506	1564	1521
507	1567	1518
508	1570	1515
509	1573	1511
510	1576	1508
511	1579	1505
512	1582	1502
513	1585	1499
514	1588	1496
515	1591	1493
516	1594	1489
517	1597	1486
518	1600	1483
519	1603	1479
520	1605	1476
521	1608	1473
522	1611	1469
523	1614	1466
524	1617	1463
525	1620	1460
526	1623	1457
527	1626	1454
528	1629	1450
529	1632	1447
530	1635	1444
531	1639	1441
532	1641	1438
533	1644	1435
534	1647	1432
535	1650	1429
536	1654	1426
537	1657	1423
538	1660	1419
539	1662	1416
540	1665	1413
541	1668	1409
542	1671	1406
543	1674	1403
544	1676	1399
545	1679	1396
546	1682	1393
547	1685	1390
548	1688	1387
549	1692	1384
550	1695	1381
551	1698	1378
552	1701	1375
553	1704	1372
554	1707	1369
555	1710	1365
556	1713	1362
557	1715	1359
558	1718	1355
559	1721	1352
560	1724	1349
561	1727	1346
562	1730	1343
563	1733	1339
564	1735	1336
565	1738	1333
566	1741	1329
567	1744	1326
568	1747	1323
569	1749	1319
570	1752	1316
571	1755	1313
572	1757	1309
573	1760	1306
574	1763	1303
575	1765	1299
576	1768	1296
577	1771	1293
578	1774	1289
579	1776	1286
580	1779	1283
581	1782	1280
582	1785	1276
583	1787	1273
584	1790	1270
585	1793	1266
586	1795	1263
587	1798	1260
588	1801	1256
589	1803	1253
590	1806	1250
591	1814	1250
592	1817	1247
593	1819	1243
594	1822	1240
595	1824	1237
596	1827	1233
597	1830	1230
598	1833	1227
599	1835	1223
600	1838	1220
601	1841	1217
602	1843	1213
603	1846	1210
604	1849	1207
605	1851	1203
606	1854	1200
607	1857	1197
608	1859	1193
609	1862	1190
610	1864	1187
611	1867	1183
612	1869	1180
613	1872	1177
614	1875	1174
615	1878	1170
616	1881	1167
617	1883	1164
618	1886	1161
619	1889	1157
620	1891	1154
621	1894	1151
622	1896	1147
623	1899	1144
624	1902	1141
625	1904	1138
626	1907	1134
627	1909	1131
628	1912	1127
629	1914	1124
630	1917	1121
631	1919	1117
632	1922	1114
633	1924	1111
634	1927	1108
635	1930	1104
636	1933	1101
637	1936	1098
638	1938	1095
639	1941	1092
640	1944	1088
641	1946	1085
642	1949	1082
643	1951	1079
644	1954	1075
645	1961	1075
646	1964	1071
647	1967	1068
648	1969	1065
649	1972	1062
650	1975	1058
651	1977	1055
652	1980	1052
653	1983	1049
654	1985	1045
655	1988	1042
656	1991	1039
657	1994	1036
658	1996	1033
659	1999	1029
660	2001	1026
661	2004	1023
662	2007	1020
663	2009	1017
664	2012	1013
665	2015	1010
666	2018	1007
667	2020	1004
668	2023	1001
669	2026	998
670	2028	994
671	2031	991
672	2034	988
673	2036	985
674	2039	981
675	2041	978
676	2044	975
677	2047	972
678	2050	969
679	2052	965
680	2055	962
681	2058	959
682	2061	956
683	2063	953
684	2066	950
685	2069	947
686	2072	944
687	2074	940
688	2077	937
689	2080	934
690	2082	931
691	2084	927
692	2087	924
693	2090	921
694	2092	918
695	2095	915
696	2097	911
697	2100	908
698	2102	905
699	2105	902
700	2107	899
701	2110	895
702	2113	892
703	2115	889
704	2118	886
705	2120	883
706	2123	879
707	2125	876
708	2128	873
709	2131	870
710	2133	867
711	2136	864
712	2138	860
713	2141	857
714	2143	854
715	2146	851
716	2148	848
717	2151	844
718	2153	841
719	2156	838
720	2158	835
721	2161	832
722	2163	829
723	2166	825
724	2169	822
725	2172	819
726	2174	816
727	2177	813
728	2179	810
729	2182	807
730	2184	804
731	2187	800
732	2190	797
733	2193	794
734	2196	791
735	2199	788
736	2202	785
737	2204	782
738	2207	779
739	2210	776
740	2213	773
741	2215	770
742	2219	767
743	2221	764
744	2224	761
745	2227	758
746	2229	755
747	2232	752
748	2235	748
749	2237	745
750	2240	742
751	2243	739
752	2245	736
753	2248	733
754	2251	730
755	2253	727
756	2256	724
757	2258	721
758	2261	718
759	2264	714
760	2266	711
761	2269	708
762	2271	705
763	2274	702
764	2276	699
765	2279	696
766	2281	693
767	2284	690
768	2287	687
769	2290	684
770	2292	681
771	2295	677
772	2298	674
773	2301	671
774	2303	668
775	2306	665
776	2309	662
777	2312	659
778	2314	656
779	2317	653
780	2320	650
781	2323	647
782	2326	644
783	2329	641
784	2331	638
785	2334	635
786	2337	632
787	2339	629
788	2342	626
789	2344	623
790	2347	620
791	2351	617
792	2353	614
793	2356	611
794	2359	608
795	2362	605
796	2365	602
797	2367	599
798	2370	596
799	2373	593
800	2375	590
801	2379	587
802	2382	584
803	2384	581
804	2387	578
805	2390	575
806	2393	572
807	2395	569
808	2398	566
809	2401	563
810	2403	560
811	2406	557
812	2408	554
813	2411	551
814	2414	548
815	2417	545
816	2419	541
817	2422	538
818	2424	535
819	2427	532
820	2430	529
821	2432	526
822	2435	523
823	2437	520
824	2440	517
825	2443	514
826	2445	511
827	2448	508
828	2450	505
829	2453	502
830	2456	499
831	2459	496
832	2461	493
833	2464	490
834	2466	487
835	2469	484
836	2471	481
837	2474	478
838	2477	475
839	2480	472
840	2482	469
841	2485	466
842	2488	463
843	2491	460
844	2494	457
845	2496	454
846	2499	451
847	2501	448
848	2504	445
849	2507	442
850	2509	439
851	2512	436
852	2514	433
853	2517	430
854	2519	427
855	2522	424
856	2525	421
857	2527	418
858	2530	415
859	2533	412
860	2536	409
861	2538	406
862	2541	403
863	2544	400
864	2546	397
865	2549	394
866	2552	391
867	2554	388
868	2557	385
869	2560	382
870	2563	379
871	2565	376
872	2568	373
873	2571	370
874	2574	367
875	2581	365
876	2584	362
877	2587	359
878	2590	356
879	2592	353
880	2595	350
881	2598	347
882	2601	344
883	2603	341
884	2607	338
885	2610	335
886	2613	332
887	2615	329
888	2618	326
889	2621	323
890	2623	320
891	2626	318
892	2630	315
893	2632	312
894	2635	309
895	2638	306
896	2641	303
897	2643	300
898	2646	297
899	2649	294
900	2652	291
901	2655	288
902	2658	285
903	2661	282
904	2664	279
905	2667	276
906	2670	273
907	2673	270
908	2676	267
909	2678	264
910	2682	262
911	2685	259
912	2688	256
913	2691	253
914	2693	250
915	2696	247
916	2699	244
917	2702	241
918	2705	238
919	2708	235
920	2711	232
921	2719	230
922	2722	227
923	2724	224
924	2727	221
925	2730	218
926	2733	215
927	2736	212
928	2739	209
929	2741	206
930	2744	203
931	2747	200
932	2750	197
933	2752	194
934	2755	191
935	2758	188
936	2761	185
937	2764	182
938	2767	179
939	2770	176
940	2772	173
941	2775	170
942	2778	167
943	2781	164
944	2784	162
945	2787	159
946	2789	156
947	2792	153
948	2795	150
949	2797	147
950	2800	144
951	2803	141
952	2806	138
953	2809	135
954	2812	132
955	2815	129
956	2818	126
957	2821	123
958	2824	120
959	2826	117
960	2829	114
961	2833	111
962	2835	108
963	2838	106
964	2842	103
965	2844	100
966	2847	97
967	2850	94
968	2853	91
969	2857	88
970	2860	85
971	2863	82
972	2868	79
973	2899	77
974	2902	74
975	2904	71
976	2907	68
977	2910	65
978	2913	62
979	2916	59
980	2919	56
981	2922	53
982	2924	50
983	2927	47
984	2930	44
985	2932	41
986	2935	38
987	2938	35
988	2941	32
989	2944	29
990	2947	26
991	2950	23
992	2953	20
993	2956	17
994	2959	14
995	2962	11
996	2964	8
997	2967	5
998	2970	2
999	2973	0
